
Gurobi 12.0.3 (win64) logging started Tue Sep  8 00:41:20 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_2_d32_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 54733 columns and 249037 nonzeros
Model fingerprint: 0x05979cf1
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [3e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25538 rows and 45427 columns
Presolve time: 0.17s
Presolved: 1364 rows, 9306 columns, 29293 nonzeros
Variable types: 216 continuous, 9090 integer (8776 binary)
Found heuristic solution: objective 616614.88775
Root relaxation presolved: 1364 rows, 9306 columns, 29293 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.010149e+05, 4215 iterations, 0.06 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 11131 10355 201754.647  276   11 284591.712 201754.647  29.1%  44.0  585s
 11271 10495 201754.647  287    9 284591.712 201754.647  29.1%  43.7  590s
 11423 10647 201754.647  302   11 284591.712 201754.647  29.1%  43.3  595s
 11552 10776 201754.647  297    9 284591.712 201754.647  29.1%  42.9  600s
 11700 10924 201754.647  291    9 284591.712 201754.647  29.1%  42.6  605s
 11826 11050 201754.647  294    9 284591.712 201754.647  29.1%  42.3  613s
 11855 11079 201754.647  293   11 284591.712 201754.647  29.1%  42.2  615s
 11998 11222 203277.507  297   68 284591.712 201754.647  29.1%  41.9  620s
 12143 11367 201754.647  303    9 284591.712 201754.647  29.1%  41.5  625s
 12280 11504 201754.647  304   11 284591.712 201754.647  29.1%  41.2  630s
 12430 11654 201754.647  307    9 284591.712 201754.647  29.1%  40.9  635s
 12553 11777 201754.647  293   11 284591.712 201754.647  29.1%  40.7  640s
 12697 11921 201754.647  302   11 284591.712 201754.647  29.1%  40.4  645s
 12838 12062 201754.647  296   13 284591.712 201754.647  29.1%  40.1  650s
 12987 12205 201754.647  294    9 284591.712 201754.647  29.1%  39.9  655s
 13129 12347 201754.647  298    9 284591.712 201754.647  29.1%  39.6  660s
 13271 12487 201754.647  293   11 284591.712 201754.647  29.1%  39.4  665s
 13426 12640 201754.647  304    9 284591.712 201754.647  29.1%  39.1  670s
 13479 12693 201754.647  310   11 284591.712 201754.647  29.1%  39.0  675s
 13623 12837 201754.647  296   11 284591.712 201754.647  29.1%  38.7  680s
 13777 12991 201754.647  305    9 284591.712 201754.647  29.1%  38.5  685s
 13939 13153 201754.647  300    9 284591.712 201754.647  29.1%  38.2  690s
 14077 13291 201754.647  309    9 284591.712 201754.647  29.1%  37.9  695s
 14210 13424 201754.647  313    9 284591.712 201754.647  29.1%  37.7  701s
 14320 13534 201754.647  304    9 284591.712 201754.647  29.1%  37.6  705s
 14459 13667 201754.647  292    9 284591.712 201754.647  29.1%  37.3  710s
 14622 13828 201754.647  302    9 284591.712 201754.647  29.1%  37.1  715s
 14782 13988 201754.647  300   11 284591.712 201754.647  29.1%  36.8  720s
 14929 14129 201754.647  305   13 284591.712 201754.647  29.1%  36.6  731s
 15042 14242 201754.647  307    9 284591.712 201754.647  29.1%  36.4  735s
 15196 14390 201754.647  299    9 284591.712 201754.647  29.1%  36.2  740s
 15347 14539 201754.647  301    9 284591.712 201754.647  29.1%  36.0  745s
 15491 14681 201754.647  297   11 284591.712 201754.647  29.1%  35.8  750s
 15639 14829 201754.647  309   11 284591.712 201754.647  29.1%  35.6  755s
 15773 14957 201754.647  277   23 284591.712 201754.647  29.1%  36.1  760s
 15894 15078 201754.647  254   22 284591.712 201754.647  29.1%  36.8  765s
 16006 15190 201754.647  310   24 284591.712 201754.647  29.1%  38.0  770s
 16099 15279 201754.647  301   51 284591.712 201754.647  29.1%  39.8  775s
H16153 15329                    284591.64897 201754.647  29.1%  40.7  778s
 16172 15346 201754.647  296   38 284591.649 201754.647  29.1%  40.9  780s
 16270 15431 201754.647  302   39 284591.649 201754.647  29.1%  43.1  785s
 16354 15510 201754.647  302   40 284591.649 201754.647  29.1%  45.2  790s
 16449 15589 201754.647  315   10 284591.649 201754.647  29.1%  47.3  795s
 16548 15676 201754.647  303   28 284591.649 201754.647  29.1%  49.0  800s
 16606 15728 201754.647  302   39 284591.649 201754.647  29.1%  49.8  805s
 16703 15816 201754.647  304   38 284591.649 201754.647  29.1%  51.8  810s
 16799 15905 201754.647  304   42 284591.649 201754.647  29.1%  53.9  815s
 16847 15953 201754.647  299   43 284591.649 201754.647  29.1%  54.8  820s
 16942 16040 216952.073  296   90 284591.649 201754.647  29.1%  57.1  825s
 17044 16126 201754.647  311   46 284591.649 201754.647  29.1%  59.2  830s
 17132 16195 204157.539  316  107 284591.649 201754.647  29.1%  61.3  835s
 17155 16216 201898.515  314  122 284591.649 201754.647  29.1%  62.0  842s
 17194 16251 201754.647  308   45 284591.649 201754.647  29.1%  62.8  845s
 17264 16321 201754.647  305   15 284591.649 201754.647  29.1%  64.6  850s
 17346 16391 201754.647  308   48 284591.649 201754.647  29.1%  66.4  855s
 17440 16471 201754.647  297   44 284591.649 201754.647  29.1%  68.6  860s
 17539 16548 201754.647  309   52 284591.649 201754.647  29.1%  70.8  865s
 17627 16620 201754.647  301   47 284591.649 201754.647  29.1%  73.3  870s
 17722 16687 201754.647  296   39 284591.649 201754.647  29.1%  75.6  875s
 17802 16761 201754.647  304   52 284591.649 201754.647  29.1%  78.3  880s
 17887 16830 201754.647  298   43 284591.649 201754.647  29.1%  80.4  885s
 17973 16908 201754.647  294   35 284591.649 201754.647  29.1%  82.4  890s
 18018 16953 201754.647  284   49 284591.649 201754.647  29.1%  83.3  897s
 18065 16998 201754.647  303   36 284591.649 201754.647  29.1%  84.2  900s
 18147 17074 201754.647  306   40 284591.649 201754.647  29.1%  85.6  905s
 18223 17140 201754.647  291   36 284591.649 201754.647  29.1%  87.5  910s
 18314 17221 201754.647  311   30 284591.649 201754.647  29.1%  89.4  915s
 18396 17285 201754.647  304   31 284591.649 201754.647  29.1%  91.3  920s
 18471 17358 201754.647  302   33 284591.649 201754.647  29.1%  92.9  925s
 18555 17426 229323.133  306   96 284591.649 201754.647  29.1%  94.5  930s
 18642 17482 212839.157  296   75 284591.649 201754.647  29.1%  96.3  935s
 18706 17518 201754.647  300   34 284591.649 201754.647  29.1%  97.3  940s
 18791 17596 201754.647  305   12 284591.649 201754.647  29.1%  98.9  945s
 18870 17665 201754.647  302   42 284591.649 201754.647  29.1%   101  950s
 18896 17691 201754.647  300   40 284591.649 201754.647  29.1%   101  959s
 18909 17704 201754.647  300   31 284591.649 201754.647  29.1%   102  960s
 18993 17782 201754.647  296   56 284591.649 201754.647  29.1%   103  965s
 19076 17860 201754.647  286   37 284591.649 201754.647  29.1%   105  970s
 19160 17933 201754.647  270   35 284591.649 201754.647  29.1%   107  975s
 19242 18015 201754.647  254   34 284591.649 201754.647  29.1%   109  980s
 19331 18104 201754.647  234   48 284591.649 201754.647  29.1%   111  985s
 19421 18188 201754.647  290   30 284591.649 201754.647  29.1%   113  990s
 19509 18272 201754.647  180   29 284591.649 201754.647  29.1%   115  995s
 19608 18371 201754.647   60   26 284591.649 201754.647  29.1%   116 1000s
 19696 18457 201754.647   78   25 284591.649 201754.647  29.1%   118 1005s
 19781 18542 227099.716  211   96 284591.649 201754.647  29.1%   119 1013s
 19804 18565 229323.133  311  121 284591.649 201754.647  29.1%   120 1015s
 19916 18675 201754.647   99   38 284591.649 201754.647  29.1%   120 1020s
 19972 18731 201754.647  127   24 284591.649 201754.647  29.1%   120 1025s
 20055 18814 201754.647   44   35 284591.649 201754.647  29.1%   121 1030s
 20139 18896 229323.133  320  111 284591.649 201754.647  29.1%   121 1035s
 20231 18988 201754.647   88   30 284591.649 201754.647  29.1%   123 1040s
 20291 19048 201754.647  118   16 284591.649 201754.647  29.1%   123 1045s
 20394 19151 201754.647  179   20 284591.649 201754.647  29.1%   122 1050s
 20474 19227 201754.647   82   20 284591.649 201754.647  29.1%   123 1055s
