var,index,value,fractionality
Y,"('LH518B_5', 'C0308', 1, 27.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_4', 'C0446', 1, 28.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_3', 'C0509', 1, 41.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_9', 'N2825', 1, 50.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_5', 'C0316', 1, 69.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_8', 'C0087', 1, 70.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_10', 'N2788', 1, 95.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_7', 'C0163', 1, 96.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_10', 'N2748', 1, 101.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_6', 'C0239', 1, 104.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_1', 'C0620', 1, 106.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_11', 'N2715', 1, 121.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_12', 'N2632', 1, 134.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_4', 'C0449', 1, 137.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_7', 'C0165', 1, 139.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_9', 'N2860', 1, 145.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_5', 'C0274', 1, 155.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_4', 'C0413', 1, 157.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_10', 'N2753', 1, 158.0)",0.6851851851851849,0.3148148148148151
Z,"('LH518B_1', 1, 74.0)",0.6851851851851849,0.3148148148148151
Z,"('LH518B_12', 1, 54.0)",0.6851851851851849,0.3148148148148151
Z,"('LH518B_2', 1, 163.0)",0.6851851851851849,0.3148148148148151
Z,"('LH518B_2', 1, 165.0)",0.6851851851851849,0.3148148148148151
Z,"('LH518B_3', 1, 1.0)",0.6851851851851849,0.3148148148148151
Z,"('LH518B_6', 1, 154.0)",0.6851851851851849,0.3148148148148151
Z,"('LH518B_7', 1, 72.0)",0.6851851851851849,0.3148148148148151
Z,"('LH518B_7', 1, 141.0)",0.6851851851851849,0.3148148148148151
Y,"('LH518B_3', 'C0499', 1, 1.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_7', 'C0131', 1, 8.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_5', 'C0268', 1, 13.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_5', 'C0279', 1, 27.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_4', 'C0441', 1, 28.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_3', 'C0501', 1, 41.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_9', 'N2821', 1, 50.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_12', 'N2640', 1, 54.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_2', 'C0528', 1, 59.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_5', 'C0280', 1, 63.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_2', 'C0538', 1, 69.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_5', 'C0307', 1, 69.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_8', 'C0054', 1, 70.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_7', 'C0157', 1, 72.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_8', 'C0083', 1, 72.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_6', 'C0205', 1, 73.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_1', 'C0592', 1, 74.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_3', 'C0500', 1, 74.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_7', 'C0129', 1, 94.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_10', 'N2792', 1, 95.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_7', 'C0168', 1, 96.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_10', 'N2782', 1, 101.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_6', 'C0232', 1, 104.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_1', 'C0583', 1, 106.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_12', 'N2631', 1, 111.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_11', 'N2669', 1, 121.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_12', 'N2594', 1, 134.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_4', 'C0451', 1, 137.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_7', 'C0120', 1, 139.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_7', 'C0158', 1, 141.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_9', 'N2820', 1, 145.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_9', 'N2868', 1, 147.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_6', 'C0204', 1, 152.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_6', 'C0206', 1, 154.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_5', 'C0305', 1, 155.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_4', 'C0442', 1, 157.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_10', 'N2745', 1, 158.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_12', 'N2593', 1, 159.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_3', 'C0472', 1, 159.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_6', 'C0233', 1, 159.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_6', 'C0194', 1, 160.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_2', 'C0527', 1, 163.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_2', 'C0554', 1, 165.0)",0.31481481481481505,0.31481481481481505
Y,"('LH518B_6', 'C0199', 1, 109.0)",0.686494318080702,0.31350568191929795
Z,"('LH518B_8', 1, 45.0)",0.6884783197414162,0.31152168025858384
Y,"('LH518B_2', 'C0560', 1, 147.0)",0.6971645342118133,0.30283546578818665
Z,"('LH518B_2', 1, 147.0)",0.30283546578818665,0.30283546578818665
Z,"('LH518B_4', 1, 74.0)",0.6984584693556716,0.3015415306443284
Z,"('LH518B_9', 1, 33.0)",0.6992761089301944,0.30072389106980557
Y,"('LH518B_2', 'C0557', 1, 164.0)",0.7140129796051038,0.2859870203948962
Y,"('LH518B_8', 'C0088', 1, 157.0)",0.28526444262597633,0.28526444262597633
Y,"('LH518B_3', 'C0476', 1, 142.0)",0.2847906305976631,0.2847906305976631
