
Gurobi 12.0.3 (win64) logging started Mon Sep  7 23:47:58 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_353\Costo_variable\Swap_libre\Swap_variable_3estaciones_160kW_Descomp\station_2_d335_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26358 rows, 54733 columns and 249676 nonzeros
Model fingerprint: 0x7ba45f82
Variable types: 2129 continuous, 52604 integer (19481 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [4e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 23476 rows and 44287 columns
Presolve time: 0.27s
Presolved: 2882 rows, 10446 columns, 34356 nonzeros
Variable types: 824 continuous, 9622 integer (9084 binary)
Found heuristic solution: objective 546465.97195
Root relaxation presolved: 2882 rows, 10446 columns, 34356 nonzeros


Root relaxation: objective 1.787162e+05, 14007 iterations, 2.00 seconds (2.20 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  8061  7529 179412.938  986   14 284191.259 179412.938  36.9%  26.6  970s
  8116  7584 179412.938  976   12 284191.259 179412.938  36.9%  26.5  975s
  8168  7636 179412.938 1002   26 284191.259 179412.938  36.9%  26.7  980s
  8211  7679 179412.938 1061   15 284191.259 179412.938  36.9%  26.7  985s
  8259  7727 179412.938 1085   28 284191.259 179412.938  36.9%  26.9  990s
  8318  7786 179412.938 1077   22 284191.259 179412.938  36.9%  26.8  995s
  8391  7859 179412.938 1151   36 284191.259 179412.938  36.9%  26.6 1000s
  8431  7899 179412.938 1171   42 284191.259 179412.938  36.9%  26.8 1005s
  8481  7949 179412.938 1196   16 284191.259 179412.938  36.9%  26.9 1024s
  8489  7957 179412.938 1200   16 284191.259 179412.938  36.9%  26.9 1025s
  8543  8011 179412.938 1227   56 284191.259 179412.938  36.9%  27.0 1030s
  8593  8061 179412.938   41   12 284191.259 179412.938  36.9%  27.1 1035s
  8646  8114 179412.938 1241   12 284191.259 179412.938  36.9%  27.1 1040s
  8691  8159 179412.938   90   16 284191.259 179412.938  36.9%  27.1 1045s
  8734  8202 179412.938  901   16 284191.259 179412.938  36.9%  27.0 1050s
  8798  8266 179412.938  933   19 284191.259 179412.938  36.9%  26.9 1055s
  8863  8331 179412.938   88   16 284191.259 179412.938  36.9%  26.8 1060s
  8919  8387 179412.938  116   18 284191.259 179412.938  36.9%  26.7 1065s
  8974  8442 179412.938 1021   16 284191.259 179412.938  36.9%  26.6 1070s
  9034  8502 179412.938 1051   22 284191.259 179412.938  36.9%  26.5 1075s
  9106  8574 179412.938 1087   28 284191.259 179412.938  36.9%  26.4 1080s
  9162  8630 179412.938 1115   18 284191.259 179412.938  36.9%  26.5 1085s
  9222  8690 179412.938 1145   24 284191.259 179412.938  36.9%  26.5 1090s
  9290  8758 179412.938 1179   26 284191.259 179412.938  36.9%  26.5 1095s
  9360  8828 179412.938 1214   26 284191.259 179412.938  36.9%  26.5 1100s
  9417  8885 179412.938  365   18 284191.259 179412.938  36.9%  26.5 1105s
  9471  8939 179412.938  392   20 284191.259 179412.938  36.9%  26.5 1110s
  9527  8995 179412.938  420   18 284191.259 179412.938  36.9%  26.4 1115s
  9592  9060 179412.938 1330   16 284191.259 179412.938  36.9%  26.2 1120s
  9648  9116 179412.938 1358   18 284191.259 179412.938  36.9%  26.1 1125s
