
Gurobi 12.0.3 (win64) logging started Mon Sep  7 02:22:26 2026

Set parameter LogFile to value "C:\Users\TECNO-MASTER\Desktop\Elmo_infrastructure_sizing_NP-\output\DCH_septiembre\Bateria_482\Costo_variable\Swap_restringido\Swap_variable_3estaciones_320kW_Descomp\station_1_d121_stage1\ELMO_log.txt"
Set parameter Threads to value 1
Set parameter Heuristics to value 0.5
Set parameter MIPFocus to value 3
Set parameter Presolve to value 2
Set parameter FlowCoverCuts to value 2
Gurobi Optimizer version 12.0.3 build v12.0.3rc0 (win64 - Windows 11+.0 (26200.2))

CPU model: Intel(R) Core(TM) i9-14900K, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 32 logical processors, using up to 1 threads

Non-default parameters:
TimeLimit  1200
MIPGap  0.05
Heuristics  0.5
MIPFocus  3
FlowCoverCuts  2
Presolve  2
Threads  1

Optimize a model with 26902 rows, 53707 columns and 244558 nonzeros
Model fingerprint: 0x43483de8
Variable types: 2099 continuous, 51608 integer (18485 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [8e-03, 8e+04]
  Bounds range     [1e+00, 1e+01]
  RHS range        [1e+00, 1e+04]
Presolve removed 25512 rows and 44919 columns
Presolve time: 0.12s
Presolved: 1390 rows, 8788 columns, 28693 nonzeros
Variable types: 216 continuous, 8572 integer (8166 binary)
Root relaxation presolved: 1390 rows, 8788 columns, 28693 nonzeros


Use crossover to convert LP symmetric solution to basic solution...

Root relaxation: objective 2.166622e+05, 3411 iterations, 0.04 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 22789 22233 235936.790  185   28 280390.819 235936.790  15.9%   121  905s
 22932 22376 235936.790  181   16 280390.819 235936.790  15.9%   121  910s
 23083 22527 235936.790  180    9 280390.819 235936.790  15.9%   121  915s
 23241 22685 235936.790  182    9 280390.819 235936.790  15.9%   122  920s
 23320 22764 235936.790  177    9 280390.819 235936.790  15.9%   121  927s
 23368 22812 235936.790  179   13 280390.819 235936.790  15.9%   122  930s
 23511 22951 235936.790  165   11 280390.819 235936.790  15.9%   122  935s
 23659 23097 235936.790  181   11 280390.819 235936.790  15.9%   121  940s
 23808 23246 235936.790  180    9 280390.819 235936.790  15.9%   121  945s
 23953 23391 235936.790  174    9 280390.819 235936.790  15.9%   121  950s
 24094 23532 235936.790  180   14 280390.819 235936.790  15.9%   121  955s
 24246 23684 235936.790  176    9 280390.819 235936.790  15.9%   121  960s
 24400 23838 235936.790  176   21 280390.819 235936.790  15.9%   121  965s
 24537 23975 235936.790  175   13 280390.819 235936.790  15.9%   121  970s
 24679 24117 235936.790  180    9 280390.819 235936.790  15.9%   121  975s
 24781 24217 235936.790  170    9 280390.819 235936.790  15.9%   121  981s
 24882 24318 235936.790  180    9 280390.819 235936.790  15.9%   121  985s
 25017 24453 235936.790  181    9 280390.819 235936.790  15.9%   121  990s
 25185 24621 235936.790  184   14 280390.819 235936.790  15.9%   121  995s
 25280 24716 235936.790  183   11 280390.819 235936.790  15.9%   121 1000s
 25401 24837 235936.790  184   14 280390.819 235936.790  15.9%   122 1005s
 25581 25017 235936.790  177    9 280390.819 235936.790  15.9%   122 1010s
 25728 25164 235936.790  178    9 280390.819 235936.790  15.9%   122 1015s
 25845 25281 235936.790  182   15 280390.819 235936.790  15.9%   122 1020s
 25995 25431 235936.790  181    9 280390.819 235936.790  15.9%   122 1025s
 26135 25571 235936.790  183   11 280390.819 235936.790  15.9%   122 1030s
 26226 25662 235936.790  178    9 280390.819 235936.790  15.9%   122 1035s
 26346 25782 235936.790  177    9 280390.819 235936.790  15.9%   122 1040s
 26454 25890 235936.790  183   18 280390.819 235936.790  15.9%   122 1045s
 26598 26034 235936.790  187   11 280390.819 235936.790  15.9%   122 1050s
 26735 26171 235936.790  179   23 280390.819 235936.790  15.9%   122 1055s
 26870 26306 235936.790  181   11 280390.819 235936.790  15.9%   122 1061s
 26966 26402 235936.790  182   19 280390.819 235936.790  15.9%   123 1065s
 27129 26565 235936.790  181    9 280390.819 235936.790  15.9%   122 1070s
 27284 26720 235936.790  176    9 280390.819 235936.790  15.9%   123 1075s
 27357 26793 235936.790  174   13 280390.819 235936.790  15.9%   123 1080s
 27509 26945 235936.790  178    9 280390.819 235936.790  15.9%   123 1085s
 27697 27131 235936.790  175    9 280390.819 235936.790  15.9%   122 1090s
 27806 27240 235936.790  181    9 280390.819 235936.790  15.9%   123 1095s
 27943 27377 235936.790  165    9 280390.819 235936.790  15.9%   123 1100s
 28021 27455 235936.790  170   13 280390.819 235936.790  15.9%   123 1105s
 28155 27589 235936.790  182   28 280390.819 235936.790  15.9%   123 1110s
 28295 27729 235936.790  182   11 280390.819 235936.790  15.9%   123 1115s
 28384 27818 235936.790  180   26 280390.819 235936.790  15.9%   123 1120s
 28506 27940 235936.790  183   15 280390.819 235936.790  15.9%   123 1125s
 28682 28116 235936.790  185   19 280390.819 235936.790  15.9%   123 1130s
 28749 28183 235936.790  183    9 280390.819 235936.790  15.9%   123 1135s
 28886 28320 235936.790  184   26 280390.819 235936.790  15.9%   124 1140s
 29019 28453 235936.790  172   11 280390.819 235936.790  15.9%   124 1145s
 29088 28522 235936.790  182   14 280390.819 235936.790  15.9%   124 1150s
 29235 28669 235936.790  174    9 280390.819 235936.790  15.9%   124 1155s
 29370 28804 235936.790  174    9 280390.819 235936.790  15.9%   124 1160s
 29439 28873 235936.790  183   19 280390.819 235936.790  15.9%   124 1165s
 29614 29048 235936.790  182   27 280390.819 235936.790  15.9%   124 1170s
 29764 29198 235936.790  176    9 280390.819 235936.790  15.9%   124 1175s
 29858 29292 235936.790  180   12 280390.819 235936.790  15.9%   124 1182s
 29922 29356 235936.790  180    9 280390.819 235936.790  15.9%   125 1185s
 30072 29506 235936.790  183   19 280390.819 235936.790  15.9%   125 1190s
 30234 29668 235936.790  188   15 280390.819 235936.790  15.9%   125 1195s

Cutting planes:
  Gomory: 15
  Lift-and-project: 2
  Flow cover: 2

Explored 30380 nodes (3816429 simplex iterations) in 1200.02 seconds (1835.79 work units)
Thread count was 1 (of 32 available processors)

Solution count 10: 280391 280391 282180 ... 283933

Time limit reached
Warning: max constraint violation (2.3965e-04) exceeds tolerance
Warning: max bound violation (2.3965e-04) exceeds tolerance
Best objective 2.803908185846e+05, best bound 2.359367903075e+05, gap 15.8543%
